194,8,2,0.5,19.5
196,11,2,0,18
197,5.5,2,1,18
201,8,2,1,18
203,6,2,1,18.5
207,9,1.5,0,20
209,6,2,0,18.5
210,8.5,2,0,18.5
211,17,2,0,24
212,13,2,0,24
213,7,2,1,21
215,13,2,0,19.5
217,13,2.5,0,21.5
219,9.5,2,0.5,21
225,11.5,3,2,20
230,12,2,0,22
238,5,1.5,0,16.5
240,5,2,1,24
242,8.5,2,0,20.5
259,12,1.5,0,21
260,14,2,0,20
261,9,2,2,21.5
263,8,2,0,19.5
265,14,2.5,0.5,19
269,12,3,2,22
271,12,2.5,0.5,20.5
278,9,1.5,0,17
280,16,2,0.5,18.5
281,6,2,0,21
285,6,2,0,21
286,5,1.5,0,17.5
288,18,3,0,24.5
290,12,2.5,0,22
291,4,2,0,19
293,8,1.5,0,17
298,9,2,0,19
301,6.5,2,1,18.5
303,11,2.5,1,22
304,21,3,0,23
305,11.5,2,0,21
308,15,2,0.5,20.5
310,15,2.5,0,21
311,13.5,2,1,23
312,14,3,0,25.5
313,9,1.5,0,18.5
314,13.5,2,0,20
317,6,2,0,18.5
318,5,2,1,20
321,11,3,0,22
322,11,2,0,19
323,11,3,0.5,24
324,8,2,0.5,18.5
330,11.5,1.2,0,20
332,3,2,1,18.5
333,4.5,2,0,22.5
340,4,2,1,18.5
343,5,2,0,16
345,6.5,2,0,17
347,9,2,0.5,22
353,8.5,3,0.5,23
355,10.5,1.5,0,17
357,8,1.5,0,20
362,4,2,0,18
363,5,1.5,0,17.5
366,8,2,0,20
367,8,2,0,17.5
368,9.5,2,1,21
371,10.5,2.5,0,18
378,6,2,1,17.5
379,5,2,1,21
380,12,2,0.5,19
381,7.5,2,0.5,20
386,6,2,0,19
387,5.5,2,0.5,19
389,8.5,3,0.5,18
390,7,2,1,21
392,5,2,0,18.5
399,3.8,2,1,21
401,11,2,0,22
402,17,2,0,21
403,11.5,2,0,22.5
404,14,2,0,21
405,10.5,2.5,1,24
406,6.7,2,0.5,19.5
407,9.5,2.5,0,20
408,9,2.5,0,21
409,5,1.5,1,17
410,7.5,2.5,0.5,19
413,5,1.5,0,19
414,12,2,1,21
415,9.5,3,0,23.5
416,15.5,2,0.5,24.3
417,7,2,1,21
418,15,2,0,24.5
419,11.5,2,0.5,21
420,6,2,0,16
421,12,2,0.5,19
423,11,2,0,22
425,9.5,2.5,0,19
426,11,2.5,0,20
427,11,2.5,0.5,20
428,13,2,1,22
429,10.5,2,0,21
431,13,2,1.5,23
432,11,1.5,0,20
433,5,1.5,0,18.5
434,7,1.5,0,18
435,7,3,0,22.5
436,10.5,2.5,0,21
437,9,2,0,19
438,8,2,0.5,19
440,14.5,2.5,2,21
441,8.5,2,0,19
442,8.5,2,0,21
443,11,2.5,0,21.5
444,13,2,0,20.5
445,14,2,0,22
446,11,2.5,0.5,20
451,10.5,2,0,20
452,12,2.5,0,22
454,14.5,2,0,23.5
455,11,2,0,22.5
456,13.5,2.5,0,21.5
457,15.5,2.5,0,21.5
459,17,2,0,24.5
461,14,2,0,19
462,13.5,2.5,0,22
463,15.5,2,0.5,23
464,3.5,2,0,21
465,9,2,0,19.5
471,11,2.5,0,20
472,11,1.5,0,20
473,15.5,2,0,22.5
476,11,1.5,0,19.5
477,10.5,2,0,23
478,10,2.5,0,19
479,10,2.5,0,22
483,16,2,0,21
485,11,2,0,19.5
487,16,3,0,22.5
488,14,2.5,0,24
492,17,2.5,0,21
495,12,2,0,21
498,10,3,0,21.5
500,6,2,0,18
501,11,2,1.5,20
502,21,3,0,25
503,12.5,2,0.5,23
504,13,2,0,20.5
505,7,1.5,0.5,18.5
508,6,1.5,0,17.5
511,12,3,0,20.5
512,16,2.5,0,24
515,10,2,0,20.5
516,15,1.5,1,24
521,15,2,0,21
522,5,2,0,18
